name,ingredients,diet,prep_time,cook_time,total_time,difficulty,flavor_profile,course,state,region,img_url,instructions
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,175,Hard,spicy,snack,Andhra Pradesh,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Andhra_Kandi_Attu_Recipe_Toor_Dal_Dosa_Recipe_.jpg,"Rinse the arhar dal and soak it in water for at least 30 minutes.
Drain the water and grind the arhar dal into a coarse paste using a blender or grinder.
Heat 1 tablespoon of water in a pan over medium heat and add the grated ginger; sauté until the ginger is soft and fragrant.
Add the ground arhar dal paste to the pan and cook for 2-3 minutes, stirring constantly, until the mixture thickens slightly.
Add 1 teaspoon of kala jeera to the pan and sauté for another minute, stirring constantly.
Add 1-2 green chillies, finely chopped, to the pan and sauté for 30 seconds.
In a large mixing bowl, combine 1 cup of whole wheat flour and the cooked arhar dal mixture; mix well until a dough forms.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 10-15 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a small ball.
Flatten each ball into a thin circle using a rolling pin or your hands.
Heat a non-stick pan or griddle over medium heat and cook the attu for 1-2 minutes on each side, until it is golden brown and crispy."
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,75,Hard,spicy,main course,Kerala,South,https://www.vegrecipesofindia.com/wp-content/uploads/2011/11/avial-recipe-1.jpg,"Peel the raw banana, elephant foot yam, and tindora, and cut them into small pieces.
Cut the long beans into 1-inch pieces.
Heat oil in a pan over medium heat and sauté the urad dal until it turns light brown.
Add the cut vegetables to the pan and sauté until they are slightly tender.
Add 1 cup of water to the pan and bring to a boil.
Reduce the heat to low and let the vegetables cook until they are fully tender.
Mash the cooked vegetables using a potato masher or a spoon to desired consistency.
Season with salt to taste.
Serve the Avial hot with rice or roti."
Baingan Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",vegetarian,10,60,70,Hard,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/baingan-bharta-1-500x500.jpg,"Cut 2 medium-sized eggplants into 1-inch cubes and set aside.
Heat 2 tablespoons of oil in a pan over medium heat and add 1 sprig of curry leaves.
Add 2-3 green chilies, chopped, and sauté for a minute until they start to change color.
Add the eggplant cubes and sauté for 5-6 minutes until they start to brown.
Add 1 teaspoon of chili powder and mix well to coat the eggplant evenly.
Add 1/2 teaspoon of garam masala powder and mix again.
Add 1/4 cup of grated coconut and mix well to combine with the eggplant mixture.
Cook for an additional 2-3 minutes until the coconut is lightly toasted and the eggplant is fully coated.
Season with salt to taste, then remove from heat and serve hot."
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,20,Easy,spicy,main course,Gujarat,West,https://www.vegrecipesofindia.com/wp-content/uploads/2013/03/bajra-roti.jpg,"In a large mixing bowl, combine 2 cups of wheat flour and 1 cup of pearl millet flour.
Gradually add hot water to the flour mixture and mix until a dough forms.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 10-15 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Roll out each ball into a thin circle, about 6-7 inches in diameter.
Heat a non-stick skillet or griddle over medium heat.
Place a rotlo on the skillet and cook for 30-45 seconds or until it starts to bubble.
Flip the rotlo and cook for another 30-45 seconds or until it's golden brown.
Repeat with the remaining dough portions."
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,70,Hard,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/balushahi-1.jpg,"In a large mixing bowl, combine 2 cups of Maida flour and 1/2 cup of yogurt to form a smooth dough, adding a little water if needed.
Knead the dough for 5-7 minutes until it becomes soft and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Flatten each ball into a thin circle, about 3-4 inches in diameter.
Heat 2-3 inches of oil in a deep frying pan over medium heat.
When the oil is hot, carefully slide in a few of the dough circles, not overcrowding the pan.
Fry the dough circles until they are golden brown, about 2-3 minutes on each side.
Remove the fried dough circles from the oil with a slotted spoon and place them on a paper towel-lined plate to drain excess oil.
In a separate pan, heat 1 cup of sugar over low heat, stirring constantly, until it dissolves and forms a syrup.
Add 1/2 cup of water to the sugar syrup and stir well.
Bring the sugar syrup to a boil, then reduce the heat to low and simmer for 5-7 minutes, or until it reaches a thick, sticky consistency.
Dip each fried dough circle into the sugar syrup, coating it evenly on both sides.
Place the coated Balu Shahi on a wire rack or tray to cool and harden."
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,40,Medium,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/gulab_Jamun.jpg,"In a large mixing bowl, combine 2 cups of besan and 1 cup of sugar, and mix well until the sugar is evenly distributed.
Add 1/2 teaspoon of cardamom powder to the besan mixture and mix again.
Heat 1/4 cup of ghee in a pan over medium heat and add 1/2 cup of cashews, frying until they are golden brown.
Remove the fried cashews from the ghee and set them aside on a paper towel-lined plate to drain excess ghee.
In the same pan, add 1/2 cup of raisins and fry until they are puffed up and golden brown.
Remove the fried raisins from the ghee and set them aside with the cashews.
In a large pan, combine 1 cup of jaggery and 1/2 cup of water, and heat over medium heat, stirring occasionally, until the jaggery dissolves and the mixture reaches a syrupy consistency.
Add the fried cashews and raisins to the jaggery syrup and mix well.
Add the besan mixture to the jaggery syrup and mix until a dough forms.
Knead the dough for 5-7 minutes until it is smooth and pliable.
Divide the dough into small portions and shape each portion into a small ball.
Flatten each ball slightly into a disk shape to form the laddus.
Let the laddus cool and dry completely before storing them in an airtight container."
Basundi,"Sugar, milk, nuts",vegetarian,10,35,45,Hard,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/basundi-1.jpg,"Boil 1 liter of milk in a large, heavy-bottomed pan over medium heat, stirring occasionally, until it reduces to half its original quantity.
Add 1 cup of sugar to the reduced milk and stir until it dissolves completely.
Continue to cook the mixture over low heat, stirring frequently, until it thickens and reaches a creamy consistency.
Remove the pan from the heat and let it cool slightly.
Stir in 1/2 cup of chopped nuts, such as almonds or pistachios, into the milk mixture.
Pour the Basundi mixture into individual serving cups or a large serving dish.
Refrigerate the Basundi for at least 2 hours or until chilled.
Serve the Basundi chilled, garnished with additional chopped nuts if desired."
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,80,Hard,sweet,dessert,Goa,West,https://www.crazymasalafood.com/wp-content/images/jalebi-2.jpg,"Preheat the oven to 375°F (190°C) and grease a 9x13-inch baking dish with a thin layer of clarified butter.
In a medium bowl, whisk together 1 cup of all-purpose flour and a pinch of salt, then set aside.
In a large bowl, whisk together 1 1/2 cups of coconut milk and 4 large egg yolks until well combined.
Gradually add the flour mixture to the coconut milk mixture, whisking continuously until smooth and free of lumps.
Pour the mixture into the prepared baking dish and bake for 20-25 minutes, or until the edges are set and the center is still slightly jiggly.
Remove the dish from the oven and let it cool slightly, then dot the top with small amounts of clarified butter.
Return the dish to the oven and bake for an additional 5-7 minutes, or until the top is golden brown and the Bebinca is set.
Remove the dish from the oven and let it cool completely before serving."
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,10,20,30,Medium,smoky,main course,Assam,North East,https://2.bp.blogspot.com/-vTi5UtZm_yk/WHoylvxfJ7I/AAAAAAAAAEI/Jc9ZdSilHhIGhbVgu0g8GGpw2brae0c3QCPcB/s640/assam%2Bfoods101.jpg,"Roast the brinjals over an open flame or in the oven until the skin is charred and the flesh is soft.
Peel the roasted brinjals and mash the flesh in a bowl using a fork or potato masher.
Heat a pan over medium heat and sauté the onions until they are translucent and lightly browned.
Add the mashed brinjal to the pan and stir well to combine with the onions.
Add salt to taste and mix well.
Sprinkle sesame seeds over the brinjal mixture and stir well to combine.
Add coriander powder to the pan and mix well.
Continue cooking the mixture for another 2-3 minutes, stirring frequently, until the flavors are well combined and the pitika is heated through.
Remove the pan from the heat and let the Bengena Pitika cool to room temperature before serving."
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,45,Hard,earthy,main course,Maharashtra,West,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Bhakri_1.jpg/375px-Bhakri_1.jpg,"In a large mixing bowl, combine 2 cups of jowar flour and 1 tablespoon of sesame seeds.
Gradually add 1/2 cup of lukewarm water to the bowl and mix until a soft dough forms.
Knead the dough for 5-7 minutes until it becomes smooth and pliable.
Cover the dough with a damp cloth and let it rest for 30 minutes.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Roll out each ball into a thin circle, about 6-7 inches in diameter.
Heat a non-stick pan or griddle over medium heat and place a bhakri on it.
Cook the bhakri for 30-45 seconds on the first side, until it starts to puff up and the edges start to curl.
Flip the bhakri and cook for another 30-45 seconds, until it is golden brown and crispy.
Repeat the process with the remaining dough portions and serve the bhakris hot."
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,40,Medium,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2010/06/bhatura-recipe-500x500.jpg,"In a large mixing bowl, combine 2 cups of plain flour, 1 teaspoon of baking soda, and 1/4 teaspoon of salt.
Gradually add 1/2 cup of yogurt to the flour mixture and mix until a smooth dough forms.
Knead the dough for 5-7 minutes until it becomes soft and pliable.
Cover the dough with a damp cloth and let it rest for 2 hours in a warm place.
Divide the dough into 6-8 equal portions and shape each portion into a ball.
Roll out each ball into a thin circle, about 6-7 inches in diameter.
Heat oil in a deep frying pan over medium-high heat and when hot, slide in a rolled-out dough circle.
Fry the Bhatura until it puffs up and the edges start to curl, about 2-3 minutes.
Flip the Bhatura over and fry for another 1-2 minutes, until it's golden brown.
Remove the Bhatura from the oil and place it on a paper towel-lined plate to drain excess oil.
Serve the Bhatura hot with a bowl of Chole and sprinkle some Rava on top, if desired."
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,50,Hard,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/bhindi-masala-1-500x500.jpg,"Heat 2 tablespoons of oil in a pan over medium heat.
Add 1 teaspoon of cumin seeds and let them sizzle for a few seconds.
Add 250 grams of ladies finger, cut into 1-inch pieces, and sauté until they start to change color.
Add 1 teaspoon of chili powder and sauté for another minute.
Add 2 medium-sized tomatoes, diced, and sauté until they are soft and mushy.
Add 1 teaspoon of garam masala powder and 1/2 teaspoon of kasuri methi, and sauté for 30 seconds.
Add 1/2 cup of water, salt to taste, and mix well.
Cover the pan with a lid and let it simmer for 10-12 minutes or until the ladies finger is cooked through.
Serve hot, garnished with chopped fresh cilantro if desired."
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,30,Medium,spicy,main course,Assam,North East,https://usercontent.one/wp/www.sunitabhuyan.net/wp-content/uploads/2021/11/IMG_20211108_0849111-1440x720.jpg,"Heat 2 tablespoons of mustard oil in a large pan over medium heat.
Add 1 bay leaf to the pan and let it sizzle for a few seconds.
Add 2-3 diced potatoes to the pan and sauté until they are golden brown.
Add 1 diced tomato to the pan and sauté for another 2-3 minutes.
Sprinkle 1 teaspoon of garam masala powder over the potatoes and tomatoes and mix well.
Add 1 cup of water to the pan and bring to a boil.
Reduce the heat to low and let the mixture simmer for 10-12 minutes or until the potatoes are cooked through.
Serve the Bilahi Maas hot, garnished with additional garam masala powder if desired."
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,150,Hard,spicy,main course,Telangana,South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/330px-%22Hyderabadi_Dum_Biryani%22.jpg,"Heat 2 tablespoons of oil in a large pan over medium heat and add 2 whole star anise to sizzle for 10 seconds.
Add 1 pound boneless, skinless chicken thighs to the pan and cook until browned, about 5-6 minutes, then set aside.
In the same pan, add 1 large onion, diced, and cook until translucent, about 3-4 minutes.
Add 2-3 green chillies, chopped, to the pan and cook for an additional minute.
Add 1 cup of basmati rice to the pan and stir to coat the rice with oil and mix with the onion and chilli mixture for 2 minutes.
Add 2 cups of water to the pan and bring to a boil, then reduce the heat to low, cover, and simmer for 15-20 minutes or until the rice is cooked and fluffy.
Add the cooked chicken back to the pan, stirring gently to combine with the rice and cook for an additional 2-3 minutes.
Turn off the heat and let the biryani rest, covered, for 5 minutes before serving."
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,75,Hard,spicy,main course,Karnataka,South,https://hebbarskitchen.com/wp-content/uploads/2021/11/bisi-bele-bath-recipe-%EF%80%A7-bisibelabath-recipe-%EF%80%A7-bisibele-bhath-or-bisibele-rice-1-1024x683.jpeg,"Rinse the split pigeon peas, chana dal, and urad dal together and soak them in water for at least 30 minutes.
Drain the water and grind the soaked dal mixture into a coarse paste using a blender or grinder.
Heat 2 tablespoons of oil in a large pressure cooker over medium heat.
Add 1 teaspoon of mustard seeds and let them splutter for a few seconds.
Add 1 teaspoon of cumin seeds and let them sizzle for a few seconds.
Add 1 small onion, finely chopped, and sauté until it turns translucent.
Add 2 cloves of garlic, minced, and sauté for another minute.
Add 1 cup of green peas and 1 cup of french beans, chopped, and sauté for 2-3 minutes.
Add 2 cups of water to the pressure cooker and bring to a boil.
Add the ground dal paste, 1 teaspoon of turmeric powder, and 1 teaspoon of salt to the pressure cooker.
Close the lid of the pressure cooker and cook for 3-4 whistles or until the dal is cooked and mushy.
Let the pressure release naturally, then open the lid and mash the dal mixture using a potato masher or a spoon.
Add 2 tablespoons of ghee to the dal mixture and mix well.
Serve the bisi bele bath hot, garnished with chopped fresh cilantro if desired."
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,5,30,35,Medium,sweet,main course,Manipur,North East,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Black_Rice.jpg/330px-Black_Rice.jpg,"Rinse 1 cup of Forbidden black rice in a fine-mesh strainer under cold running water, then drain and set aside.
Heat 2 tablespoons of olive oil in a medium saucepan over medium-high heat.
Add 1 cup of diced chicken to the saucepan and cook until browned, about 5-7 minutes, then remove from heat and set aside.
In the same saucepan, add 1 teaspoon of garlic powder and cook for 1 minute, stirring constantly.
Add the rinsed black rice to the saucepan and cook for 1-2 minutes, stirring constantly, until the rice is coated in the garlic oil mixture.
Add 2 cups of water to the saucepan and bring to a boil.
Reduce the heat to low, cover the saucepan with a tight-fitting lid, and simmer for 20-25 minutes or until the water is absorbed and the rice is tender.
Once the rice is cooked, fluff it with a fork and stir in the cooked chicken and 1/4 cup of slivered almonds.
Serve hot."
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,10,10,20,Easy,spicy,main course,Maharashtra,West,https://cdn.tasteatlas.com/images/dishes/dd7555964d3a4fa5a19fb3feaa5cd788.jpg?mw=1300,"Clean and wash the Bombay duck pieces, pat them dry with a paper towel to remove excess moisture.
In a bowl, mix together 1/2 cup of rice flour, 1/4 cup of bombay rava, and 1 teaspoon of malvani masala powder.
Add the mixed dry ingredients to the Bombay duck pieces and coat them evenly, shaking off any excess.
Heat 1/2 inch of oil in a deep frying pan over medium-high heat until it reaches 350°F.
Once the oil is hot, add 2-3 coated Bombay duck pieces to the oil, being careful not to overcrowd the pan.
Fry the Bombay duck pieces for 3-4 minutes on each side, or until they are golden brown and crispy.
Remove the fried Bombay duck pieces from the oil with a slotted spoon and place them on a paper towel-lined plate to drain excess oil.
Repeat the frying process with the remaining coated Bombay duck pieces.
In the same oil, add 1-2 slit green chilies and fry for 30 seconds to 1 minute, or until they are crispy.
Remove the fried green chilies from the oil and place them on top of the fried Bombay duck pieces.
Serve the Bombil fry hot with the fried green chilies on top."
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,110,Hard,sweet,dessert,Rajasthan,West,https://www.crazymasalafood.com/wp-content/images/boondi.jpg,"In a large mixing bowl, combine 1 cup of gram flour and a pinch of salt.
Gradually add 1/2 cup of lukewarm water to the bowl and mix until a smooth batter forms.
Add 1 tablespoon of ghee to the batter and mix well.
Cover the bowl with a cloth and let the batter rest for 30 minutes.
Heat enough ghee in a deep frying pan over medium heat to deep-fry the boondi.
Using a spoon, drop small droplets of the batter into the hot ghee, about the size of a small pea.
Fry the boondi until they are golden brown, stirring occasionally, for about 5-7 minutes.
Remove the fried boondi from the ghee with a slotted spoon and drain excess ghee on paper towels.
In a separate pan, heat 1 cup of sugar over low heat, stirring constantly, until the sugar dissolves and forms a syrup.
Add the fried boondi to the sugar syrup and stir well to coat the boondi evenly.
Remove the pan from the heat and let the boondi cool completely before serving."
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,5,20,25,Medium,spicy,main course,Assam,North East,https://2.bp.blogspot.com/-4UQizgztb_g/XDqZUHNucjI/AAAAAAABLy0/YKNeCpuisEABqoE22dEJhPOEtbxYADxvQCLcBGAs/s640/IMG_6540.jpg,"Rinse the yellow moong daal and soak it in water for at least 30 minutes, then drain and set aside.
Heat oil in a large pan over medium heat and add whole red mustard seeds, letting them sizzle for a few seconds.
Add the mixed vegetables to the pan and sauté until they are tender and lightly browned.
Add the drained moong daal to the pan and stir to combine with the vegetables and mustard seeds.
Add 2 cups of water to the pan and bring to a boil, then reduce the heat to low and let simmer for 15-20 minutes or until the daal is cooked.
Stir in 1 teaspoon of Biryani masala into the pan and let it simmer for another 5 minutes.
Serve the Bora Sawul hot, garnished with chopped fresh cilantro if desired."
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,40,Medium,bitter,main course,Kerala,South East,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg/330px-Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg,"Rinse 1 cup of brown rice in a fine mesh strainer under cold running water until the water runs clear.
In a medium saucepan, heat 1 tablespoon of olive oil over medium heat.
Add the rinsed brown rice to the saucepan and stir to coat the rice with the olive oil.
Cook the rice for 2-3 minutes, stirring constantly, until the rice is lightly toasted and fragrant.
Add 2 cups of water to the saucepan and bring to a boil.
Reduce the heat to low, cover the saucepan with a tight-fitting lid, and simmer for 40-45 minutes, or until the water is absorbed and the rice is tender.
Remove the saucepan from the heat and stir in 1 teaspoon of soy sauce.
Let the rice sit, covered, for 5 minutes before serving."
